,title,description,originallink,link,pubDate
142,‘이상한 변호사 우영우’ 종영 1회 남기고 시청률 주춤,&apos;이상한 변호사 <b>우영우</b>&apos; 시청률이 주춤하고 있다. 시청률 조사회사 닐슨코리아에 따르면 8월 17일 방송된 ENA 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos; 15회는 전국 유료플랫폼 가입 가구 기준 시청률 13.779%를 기록했다.... ,https://www.newsen.com/news_view.php?uid=202208180749332410,https://n.news.naver.com/mnews/article/609/0000616435?sid=106,"Thu, 18 Aug 2022 07:50:00 +0900"
143,"'우영우' 최종회 앞두고 시청률 13.8%, 박은빈·강태오→혼외자 다 회수될까","&apos;이상한 변호사 <b>우영우</b>&apos;가 오늘(18일) 종영한다. ENA채널 수목드라마 &apos;이상한 변호사 <b>우영우</b>&apos;가 16회를 끝으로 대단원의 막을 내린다. 최종회에는 태수미(진경)의 청문회 기일이 다가오는 가운데, 해킹 사건으로 <b>우영우</b>... ",http://www.slist.kr/news/articleView.html?idxno=377469,http://www.slist.kr/news/articleView.html?idxno=377469,"Thu, 18 Aug 2022 07:50:00 +0900"
144,"정다은 아나, 래쉬가드 글래머 자태..우영우도 못한일 해냈다!","<b>우영우</b> 변호사님도 좋아할만한 돌핀 투어&quot;라는 글과 함께 근황을 담은 인증 사진을 다수 공개했다. 공개된 사진 속 정다은은 남편 조우종 아나운서, 딸과 함께 제주도로 휴가를 떠난 모습. 돌핀 투어 중 돌고래를 만나... ",http://biz.heraldcorp.com/view.php?ud=202208180747411067890_1,https://n.news.naver.com/mnews/article/112/0003581353?sid=106,"Thu, 18 Aug 2022 07:49:00 +0900"
145,드라마 끝나도 괜찮아...'대본집' 보면 되니까,"최근 ENA 드라마 &apos;이상한 변호사 <b>우영우</b>&apos;의 폭발적인 인기에 대본집도 흥행하고 있다. 대본집은 지난 11일부터 예약판매를 시작한 지 하루 만에 5,000부 이상 팔렸다. 이처럼 드라마의 여운을 간직하고 싶어, 대본집을... ",https://view.asiae.co.kr/article/2022081714100220535,https://n.news.naver.com/mnews/article/277/0005134176?sid=102,"Thu, 18 Aug 2022 07:46:00 +0900"
146,"김종민과 결혼설 불거진 당사자, 즉각 해명 나섰다","지난 16일에는 &quot;박은빈이 &apos;이상한 변호사 <b>우영우</b>&apos;로 오스카 대상을 받았다&quot;, &quot;박은빈이 미국에서 집단 폭행을 당했다&quot;, &quot;조 바이든 미국 대통령이 박은빈의 출국을 금지시켰다&quot; 등 황당무계한 내용을 담은 영상이 올라와... ",https://www.wikitree.co.kr/articles/781355,https://www.wikitree.co.kr/articles/781355,"Thu, 18 Aug 2022 07:24:00 +0900"
147,"[SC초점] 히트작 '우영우' 가도..웹툰→뮤지컬 남는, 드라마 IP 시대",&apos;듣보 채널&apos;(듣도 보도 못한 채널) ENA를 단숨에 &apos;유명 채널&apos;로 바꾼 히트작 &apos;이상한 변호사 <b>우영우</b>&apos;는... 95% 시청률로 출발해 15%를 넘는 최고 시청률을 기록하며 신드롬급 인기를 자랑했던 ENA 드라마 &apos;이상한 변호사 <b>우영우</b>... ,http://sports.chosun.com/news/ntype.htm?id=202208190100127490007778&servicedate=20220818,https://n.news.naver.com/mnews/article/076/0003905991?sid=106,"Thu, 18 Aug 2022 07:24:00 +0900"
148,"[문화연예 플러스] 종영 앞둔 '우영우', 시즌2 나온다",드라마 &apos;이상한 변호사 <b>우영우</b>&apos;가 이번 주 종영을 앞둔 가운데 아쉬움을 달래줄 반가운 소식이 있습니다. 시즌 2가 만들어집니다. &apos;<b>우영우</b>&apos; 제작사는 오는 2024년 방영을 목표로 시즌2를 제작하겠다고 밝혔습니다.... ,https://imnews.imbc.com/replay/2022/nwtoday/article/6399160_35752.html,https://n.news.naver.com/mnews/article/214/0001216404?sid=106,"Thu, 18 Aug 2022 07:23:00 +0900"
149,"공효진·케빈오 결혼, '연중 라이브' 헤드라인…김지민 개릴라 데이트",또 최근 관광 명소로 떠오른 드라마 &quot;이상한 변호사 <b>우영우</b>&apos;의 실제 촬영지를 찾아가 본다. &apos;<b>우영우</b> 팽나무&apos;와 &apos;<b>우영우</b> 김밥집&apos;으로 유명해진 명소마다 전국에서 찾아온 관광객들이 붐비는 모습을 볼... ,http://www.slist.kr/news/articleView.html?idxno=377451,http://www.slist.kr/news/articleView.html?idxno=377451,"Thu, 18 Aug 2022 07:14:00 +0900"
150,"'우영우' 박은빈, 진경 아들과 대면…""왜 날 찾아온 겁니까""",태수미(진경)의 아들이 <b>우영우</b>(박은빈) 앞에 등장했다. 17일 방송한 ENA 드라마 ‘이상한 변호사 <b>우영우</b>’ 15회에서는 태수미의 아들 최성현이 온라인 쇼핑몰 라온의 해킹 사건과 연관 있는 인물로 등장해 시청자들을... ,http://starin.edaily.co.kr/news/newspath.asp?newsid=01082406632428632,https://n.news.naver.com/mnews/article/018/0005294743?sid=106,"Thu, 18 Aug 2022 07:06:00 +0900"
151,[단독 인터뷰] 펭수 “우영우에서 펭수로 소통해 기쁘고 황송”,펭수의 소통력은 18일 종영하는 드라마 &lt;이상한 변호사 <b>우영우</b>&gt;(이엔에이)에서도 드러난다. 3회 ‘펭수로... 현실 세계에 마음을 닫은 그는 펭수의 세계에서 말을 걸어오는 <b>우영우</b>(박은빈) 변호사한테 마음을 연다. 방영 당시... ,https://www.hani.co.kr/arti/culture/culture_general/1055171.html,https://n.news.naver.com/mnews/article/028/0002602799?sid=103,"Thu, 18 Aug 2022 07:03:00 +0900"
