,title,description,originallink,link,pubDate
75,"아이유, 크롭 바람막이 입고...'한줌 개미허리'",가수 겸 배우 <b>아이유</b>가 상큼한 화보로 찾아왔다. 글로벌 스포츠 브랜드 뉴발란스(New Balance)가 첫 뉴발란스 쉬프티드 라인 여성 컬렉션을 발매하며 브랜드 앰버서더 <b>아이유</b>와 함께한 화보를 17일 선보였다. 새롭게... ,http://star.mk.co.kr/new/view.php?mc=ST&year=2022&no=725688,https://n.news.naver.com/mnews/article/009/0005005273?sid=106,"Wed, 17 Aug 2022 09:29:00 +0900"
76,"박재범, 'Bite' MV 티저…""감각적이고, 유니크하다""","<b>아이유</b>)로 롱런 행진을 이어갔다. 7월에는 &apos;니드 투 노우&apos;로 여름 감성 자극에 성공했다. 뛰어난 음악적 역량을 입증했다. 관계자는 &quot;박재범은 엔터사 &apos;모어 비전&apos; 설립, 소주 브랜드 런칭 등 신선한 행보를... ",http://www.dispatch.co.kr/2213553,https://n.news.naver.com/mnews/article/433/0000084742?sid=106,"Wed, 17 Aug 2022 09:20:00 +0900"
77,"박재범, 감각적 일러스트로 신곡 ‘Bite’ 기대감 자극","<b>아이유</b>)&apos;로 음원 차트에서 롱런을 이어갔다. 지난 7월에는 &apos;Need To Know (니드 투 노우)&apos;를 발매하고 리스너들의 여름 감성을 저격하며 독보적인 존재감을 발휘했다. 한편, 박재범의 신곡 &apos;Bite&apos;는 8월 18일 오후... ",https://www.newsen.com/news_view.php?uid=202208170915522110,https://n.news.naver.com/mnews/article/609/0000616131?sid=106,"Wed, 17 Aug 2022 09:17:00 +0900"
78,펄 시스터스부터 블랙 핑크까지…시대 상징하는 여성의 목소리,투애니원과 블랙 핑크는 독립적이고 진취적인 여성의 아이콘으로 등극했고 <b>아이유</b>는 송라이팅과 프로듀싱 능력까지 갖춘 솔로 아티스트로 성장하여 각광받고 있다. 그 외에도 여기서 호명하지 못한 여성 음악인이 훨씬... ,http://www.kyosu.net/news/articleView.html?idxno=92588,http://www.kyosu.net/news/articleView.html?idxno=92588,"Wed, 17 Aug 2022 09:12:00 +0900"
79,"박재범, 신곡 'Bite' M/V 티저 공개…유니크한 영상미 '기대감 UP'","<b>아이유</b>)&apos;로 음원 차트에서 롱런을 이어갔다. 지난 7월에는 &apos;Need To Know (니드 투 노우)&apos;를 발매하고 리스너들의 여름 감성을 저격하며 독보적인 존재감을 발휘했다. 한편, 박재범의 신곡 &apos;Bite&apos;는 오는 18일 오후... ",http://enter.etoday.co.kr/view/news_view.php?varAtcId=229200,http://enter.etoday.co.kr/view/news_view.php?varAtcId=229200,"Wed, 17 Aug 2022 09:10:00 +0900"
80,美 음악시장에 녹아들다…빌보드 장악한 K팝,"아이돌 외에도 태연, <b>아이유</b>, 포레스텔라 등 역시 해외 팬층이 확산되고 있다. 해외 음악에서는 찾아보기 힘든 칼군무와 아티스트들의 화려한 메이크업 등이 해외 가수들과 다르기 때문에 인기 요인으로... ",http://www.newspim.com/news/view/20220816000788,http://www.newspim.com/news/view/20220816000788,"Wed, 17 Aug 2022 08:51:00 +0900"
81,"뉴발란스 브랜드 엠베서더 아이유, ‘NB SHIFTED LINE’ 여성 컬렉션 화보 공...",엠베서더 <b>아이유</b>와 함께한 화보를 선보인다.뉴발란스가 새롭게 선보이는 이번 NB SHIFTED LINE... 또한 뉴발란스 쉬프티드 라인 컬렉션 발매를 기념해 <b>아이유</b>와 함께한 화보는 ‘Colorful Emotions’... ,http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=59903&Menu=12&_C_=23069,http://zine.istyle24.com/Fashion/FashionView.aspx?Idx=59903&Menu=12&_C_=23069,"Wed, 17 Aug 2022 08:48:00 +0900"
82,"""악기도 못다루면서"" VS ""무대 기획력 중요""…'리슨업'이 쏘아올린 '프로듀서...","<b>아이유</b>의 &apos;셀러브리티&apos;, 오마이걸 &apos;돌핀&apos;, 아이브 &apos;일레븐&apos; 등 히트곡을 보유하고 있는 라이언 전은 퍼블리싱 회사를 운영하며 5~600명의 팀원들과 작업하고 있다. 라이언 전 역시 자신을 둘러싼 소문에 대해 &quot;메인... ",https://www.dailian.co.kr/news/view/1142805/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002630785?sid=106,"Wed, 17 Aug 2022 08:30:00 +0900"
83,"아이유 화보, 물오른 여신 미모..어떤 스타일도 완벽 소화 ‘시선강탈’",브레이크뉴스 박동제 기자= 가수 겸 배우 <b>아이유</b>가 화보를 통해 물오른 여신... 엠베서더 <b>아이유</b>와 함께한 화보를 공개해 눈길을 끈다. 이번 뉴발란스 쉬프티드 라인... ,http://www.breaknews.com/916474,http://www.breaknews.com/916474,"Wed, 17 Aug 2022 08:24:00 +0900"
84,"[유통이슈] 롯데아울렛, ‘디즈니 프린세스 페스티벌’ 진행 外","◆뉴발란스 브랜드 엠베서더 <b>아이유</b>, ‘NB SHIFTED LINE’ 여성 컬렉션 화보 공개 글로벌 스포츠 브랜드 뉴발란스(New Balance)가 첫 뉴발란스 쉬프티드 라인 여성 컬렉션을 발매하며 브랜드 엠베서더 <b>아이유</b>와 함께한 화보를... ",http://www.lawissue.co.kr/view.php?ud=202208170815175398204ead0791_12,http://www.lawissue.co.kr/view.php?ud=202208170815175398204ead0791_12,"Wed, 17 Aug 2022 08:18:00 +0900"
